V2,R1,Ibias,Itail,Vout,Vnet1,Gm_S,Gm_dBS,Gain_dB,Zout_ohm,f3dB_Hz,UGBW_Hz,fGm_5deg_Hz,GmHF_ratio
0.5,10,-0.0000000151098,0.0000000180774,4.3058,4.3058,0.000000255894,-131.839,43.6809,597015000,5.31836,815.204,76970.6,20.0845
0.5,20,-0.0000000151097,0.0000000180773,4.3058,4.3058,0.000000255894,-131.839,43.6809,597015000,5.31834,815.202,76970.4,20.0845
0.5,40,-0.0000000151096,0.0000000180772,4.30579,4.3058,0.000000255891,-131.839,43.6809,597022000,5.31831,815.195,76969.8,20.0847
0.5,80,-0.0000000151094,0.0000000180769,4.3058,4.3058,0.000000255888,-131.839,43.6809,597028000,5.31823,815.183,76968.8,20.0849
0.5,100,-0.0000000151093,0.0000000180768,4.3058,4.3058,0.000000255888,-131.839,43.6809,597028000,5.3182,815.178,76968.2,20.0849
0.5,200,-0.0000000151087,0.0000000180761,4.30581,4.3058,0.000000255876,-131.839,43.6809,597056000,5.31801,815.148,76965.6,20.0858
0.5,400,-0.0000000151076,0.0000000180748,4.30581,4.30581,0.000000255859,-131.84,43.6809,597097000,5.31763,815.088,76960.2,20.0872
0.5,800,-0.0000000151054,0.0000000180721,4.30581,4.30581,0.000000255823,-131.841,43.6809,597180000,5.3169,814.969,76949.4,20.09
0.5,1000,-0.0000000151042,0.0000000180708,4.30582,4.30582,0.000000255806,-131.842,43.681,597228000,5.31641,814.91,76944,20.0914
0.5,2000,-0.0000000150986,0.0000000180642,4.30582,4.30583,0.000000255714,-131.845,43.681,597441000,5.31456,814.612,76917,20.0983
0.5,4000,-0.0000000150874,0.0000000180509,4.30587,4.30587,0.000000255535,-131.851,43.6811,597868000,5.31077,814.019,76863.3,20.112
0.5,8000,-0.0000000150651,0.0000000180245,4.30593,4.30593,0.000000255176,-131.863,43.6813,598722000,5.30321,812.837,76756.1,20.1396
0.5,10000,-0.000000015054,0.0000000180114,4.30596,4.30597,0.000000254997,-131.869,43.6814,599149000,5.29944,812.247,76702.7,20.1535
0.5,20000,-0.0000000149988,0.000000017946,4.30614,4.30614,0.000000254109,-131.9,43.6819,601284000,5.28069,809.306,76437.3,20.222
0.5,40000,-0.0000000148901,0.0000000178174,4.30646,4.30647,0.000000252351,-131.96,43.6829,605536000,5.2436,803.464,75914.5,20.3596
0.5,80000,-0.0000000146795,0.0000000175682,4.30711,4.30711,0.000000248934,-132.078,43.6847,613974000,5.17166,792.245,74900.1,20.6322
0.5,100000,-0.0000000145774,0.0000000174474,4.30743,4.30743,0.000000247278,-132.136,43.6856,618159000,5.1367,787.23,74407.6,20.7671
0.5,200000,-0.0000000140967,0.0000000168783,4.30896,4.30896,0.000000239453,-132.416,43.6898,638660000,4.97165,763.108,72080.4,21.4292
0.5,400000,-0.0000000132592,0.0000000158863,4.31173,4.31173,0.00000022579,-132.926,43.6972,677883000,4.68422,719.026,68023.6,22.6947
0.5,800000,-0.0000000119388,0.0000000143207,4.31648,4.31648,0.000000204178,-133.8,43.7093,750680000,4.23013,650.544,61583.6,25.0412
0.5,1000000,-0.0000000114039,0.0000000136859,4.31854,4.31854,0.000000195405,-134.181,43.7144,784847000,4.04614,622.231,58965.6,26.1412
0.5,2000000,-0.00000000946319,0.0000000113799,4.32691,4.3269,0.000000163042,-135.754,43.7306,942389000,3.37012,519.544,49376.3,31.2187
0.5,4000000,-0.00000000731552,0.00000000882162,4.33835,4.33834,0.000000127122,-137.916,43.7492,1211270000,2.62281,404.838,38628.4,39.8685
0.5,8000000,-0.00000000528306,0.00000000639284,4.35264,4.35264,0.0000000927481,-140.654,43.7627,1662760000,1.91181,295.603,28282.2,54.3926
0.5,10000000,-0.00000000469564,0.00000000568912,4.35777,4.35778,0.0000000827418,-141.645,43.7646,1864250000,1.70577,263.713,25256.3,60.88
0.5,20000000,-0.00000000314355,0.00000000382478,4.3751,4.37511,0.0000000559732,-145.04,43.7527,2752040000,1.1579,178.127,17163.4,89.5983
0.5,40000000,-0.00000000201191,0.00000000245939,4.39417,4.39413,0.0000000362397,-148.816,43.6972,4223520000,0.758272,115.458,11150.3,137.835
0.5,80000000,-0.0000000012425,0.00000000152652,4.41438,4.41437,0.0000000226376,-152.903,43.5424,6641790000,0.488324,72.0969,6991.38,219.89
0.5,100000000,-0.00000000105722,0.00000000130109,4.42114,4.42109,0.0000000193364,-154.272,43.4536,7696710000,0.424443,61.5974,5979.3,257.17
1,10,-0.0000581736,0.0000596106,3.53293,3.53293,0.000202637,-73.8656,39.5656,469418,6762.84,645462,20527700,1
1,20,-0.0000579615,0.000059397,3.53406,3.53406,0.000202319,-73.8792,39.5766,470750,6743.72,644413,20494100,1
1,40,-0.000057543,0.0000589755,3.53631,3.53631,0.00020169,-73.9063,39.5984,473407,6705.92,642329,20427500,1
1,80,-0.0000567278,0.0000581541,3.54071,3.54071,0.000200453,-73.9597,39.6411,478680,6632.22,638215,20296800,1
1,100,-0.0000563305,0.0000577539,3.54286,3.54286,0.000199845,-73.9861,39.6621,481294,6596.14,636185,20232700,1
1,200,-0.0000544413,0.0000558495,3.5532,3.5532,0.000196908,-74.1148,39.7628,494174,6424.39,626791,19924300,1
1,400,-0.0000510843,0.0000524626,3.57201,3.57201,0.000191483,-74.3574,39.9468,519051,6116.12,610142,19365100,1
1,800,-0.0000456488,0.0000469705,3.60375,3.60375,0.000182066,-74.7954,40.2587,565855,5610.35,580090,18409700,1
1,1000,-0.0000434079,0.0000447029,3.61735,3.61735,0.000177922,-74.9954,40.3927,588037,5398.64,566369,17995200,1
1,2000,-0.0000351667,0.0000363462,3.67052,3.67052,0.000161042,-75.8612,40.9153,689962,4601.27,512982,16360700,1
1,4000,-0.0000260399,0.0000270537,3.73697,3.73697,0.000138233,-77.1878,41.553,865048,3670.01,440192,14259300,1
1,8000,-0.0000176766,0.0000184929,3.80882,3.80882,0.000111283,-79.0714,42.1894,1156220,2745.63,354148,11896600,1
1,10000,-0.0000153535,0.0000161047,3.83167,3.83168,0.000102252,-79.8065,42.3713,1284960,2470.53,325783,11117300,1
1,20000,-0.00000951611,0.0000100759,3.89868,3.89868,0.000075003,-82.4984,42.8122,1843020,1722.46,239054,8752030,1
1,40000,-0.00000562418,0.00000602253,3.95759,3.95759,0.0000514124,-85.7786,43.0389,2759820,1150.34,163818,6592820,1
1,80000,-0.00000321696,0.00000348993,4.00835,4.00835,0.0000332346,-89.5682,43.0835,4291260,739.797,105930,4774300,1
1,100000,-0.00000267373,0.00000291367,4.02318,4.02318,0.0000285841,-90.8775,43.0725,4983160,637.088,91046.4,4275720,1
1,200000,-0.00000148753,0.00000164478,4.06548,4.06548,0.0000174235,-95.1773,43.0075,8114090,391.239,55481.4,2999790,1
1,400000,-0.000000816422,0.000000916085,4.10339,4.10339,0.0000103231,-99.7238,42.9666,13630600,232.902,32897.6,2078410,1
1,800000,-0.000000443687,0.000000504786,4.13837,4.13837,0.00000598715,-104.456,42.9963,23583100,134.613,19081.5,1402590,1.2194
1,1000000,-0.000000363978,0.000000415821,4.1492,4.1492,0.00000500841,-106.006,43.0228,28277400,112.266,15942,1223460,1.3814
1,2000000,-0.000000195867,0.000000226408,4.1819,4.1819,0.00000284869,-110.907,43.1435,50411500,62.9736,9072.48,768354,2.14445
1,4000000,-0.000000104766,0.000000122331,4.21359,4.21359,0.00000159969,-115.919,43.2958,91359800,34.7477,5094.37,455586,3.53765
1,8000000,-0.0000000557481,0.0000000656688,4.24454,4.24454,0.000000886329,-121.048,43.4466,167778000,18.9213,2820.45,259509,6.09207
1,10000000,-0.0000000454568,0.0000000536863,4.25436,4.25436,0.000000731249,-122.719,43.4915,204414000,15.5302,2330.36,215304,7.30357
1,20000000,-0.0000000240498,0.0000000286223,4.28441,4.28441,0.000000399383,-127.972,43.6127,379529000,8.36515,1271.51,119202,13.0351
1,40000000,-0.000000012678,0.0000000151974,4.31378,4.31376,0.000000216302,-133.299,43.7026,708060000,4.48462,689.109,65195.7,23.6674
1,80000000,-0.00000000666255,0.00000000804226,4.34245,4.34247,0.000000116121,-138.702,43.7543,1326780000,2.39473,370.07,35322.2,43.5838
1,100000000,-0.00000000541297,0.00000000654835,4.35158,4.35158,0.0000000949577,-140.449,43.7621,1623960000,1.95735,302.635,28951.6,53.1435
1.5,10,-0.000348939,0.000344324,2.59887,2.59887,0.000397715,-68.0086,31.4984,94481.5,33601.3,1265540,44885000,1
1.5,20,-0.000346275,0.000341775,2.60509,2.60509,0.000396745,-68.0298,31.554,95321.4,33306,1262290,44734100,1
1.5,40,-0.000341089,0.000336811,2.61726,2.61726,0.000394834,-68.0717,31.6625,96986,32734.4,1256200,44441000,1
1.5,80,-0.000331251,0.000327383,2.64058,2.64058,0.000391126,-68.1537,31.8686,100257,31666.4,1244990,43879700,1
1.5,100,-0.00032658,0.000322901,2.65177,2.65177,0.000389326,-68.1937,31.9668,101865,31165.3,1239510,43609900,1
1.5,200,-0.000305369,0.000302508,2.70351,2.70351,0.000380821,-68.3856,32.4153,109659,28951.6,1213280,42357000,1
1.5,400,-0.000271255,0.000269567,2.79033,2.79033,0.000365897,-68.7328,33.1511,124221,25557.4,1165790,40232400,1
1.5,800,-0.000223668,0.00022333,2.92031,2.92031,0.000342052,-69.3182,34.2277,150415,21106.1,1089660,37021200,1
1.5,1000,-0.000206241,0.000206312,2.97104,2.97104,0.000332258,-69.5705,34.6442,162456,19541.5,1058890,35747700,1
1.5,2000,-0.000150447,0.000151511,3.14846,3.14846,0.000295828,-70.5792,36.1107,216021,14696.4,942829,31211400,1
1.5,4000,-0.000100037,0.000101534,3.33757,3.33757,0.000252947,-71.9394,37.7429,304870,10413.3,805415,26121700,1
1.5,8000,-0.0000614663,0.0000629251,3.51554,3.51554,0.000207457,-73.6614,39.3974,449718,7059.21,661181,21040700,1
1.5,10000,-0.0000518292,0.0000532145,3.56779,3.56779,0.00019271,-74.3019,39.9054,513293,6184.76,613951,19491100,1
1.5,20000,-0.0000295298,0.0000306123,3.71041,3.71041,0.000147591,-76.6188,41.3016,787082,4033.54,470412,15108600,1
1.5,40000,-0.000016222,0.0000169982,3.82294,3.82294,0.000105727,-79.5163,42.3032,1233030,2574.74,336983,11416900,1
1.5,80000,-0.00000870677,0.00000923588,3.90958,3.90958,0.0000705467,-83.0305,42.8672,1971900,1609.98,224521,8356360,1
1.5,100000,-0.00000710204,0.00000756618,3.93305,3.93305,0.0000610586,-84.2851,42.9663,2304460,1377.57,194517,7496390,1
1.5,200000,-0.0000037445,0.00000404751,3.99551,3.99551,0.0000375335,-88.5116,43.0852,3800490,835.318,119630,5221310,1
1.5,400000,-0.00000195906,0.00000215134,4.04641,4.04641,0.0000220384,-93.1364,43.0396,6438650,493.036,70161.7,3544300,1
1.5,800000,-0.00000101993,0.00000113831,4.08982,4.08982,0.0000125528,-98.0252,42.9745,11219700,282.949,39951.7,2383790,1
1.5,1000000,-0.000000826015,0.000000926591,4.10269,4.10269,0.0000104298,-99.6344,42.9667,13491300,235.307,33242.4,2093540,1
1.5,2000000,-0.000000428284,0.000000487628,4.14032,4.14032,0.00000579976,-104.732,43.0005,24356500,130.341,18482.2,1369440,1.24606
1.5,4000000,-0.000000221567,0.000000255556,4.17551,4.17551,0.00000318904,-109.927,43.1159,44888500,70.7221,10155.4,846738,1.95463
1.5,8000000,-0.000000114407,0.000000133412,4.2092,4.2092,0.0000017356,-115.211,43.2738,83991400,37.7958,5527.51,491617,3.28867
1.5,10000000,-0.0000000924452,0.000000108143,4.2198,4.2198,0.00000142454,-116.927,43.3272,102964000,30.8313,4536.41,408394,3.92844
1.5,20000000,-0.0000000476304,0.0000000562202,4.25212,4.25212,0.000000764196,-122.336,43.4815,195375000,16.2493,2434.93,224716,7.00527
1.5,40000000,-0.0000000245056,0.0000000291584,4.28354,4.28353,0.000000406602,-127.817,43.6096,372653000,8.51921,1295.42,121314,12.8114
1.5,80000000,-0.0000000125924,0.0000000150959,4.31407,4.31407,0.000000214902,-133.355,43.7034,712738000,4.45513,684.767,64777.6,23.818
1.5,100000000,-0.0000000101606,0.0000000122091,4.32373,4.32372,0.000000174985,-135.14,43.7266,877667000,3.61856,557.094,52842.2,29.1269
2,10,-0.000808701,0.000752384,1.7654,1.7654,0.000465759,-66.6368,19.7727,20915.8,151800,1476750,69254800,1
2,20,-0.000800301,0.000746136,1.77652,1.77652,0.000466536,-66.6223,20.0611,21585.8,147091,1479760,68683600,1
2,40,-0.000784095,0.000733839,1.79851,1.79851,0.000467769,-66.5994,20.6091,22930.9,138456,1484590,67615000,1
2,80,-0.000753867,0.000710104,1.84137,1.84137,0.000469139,-66.574,21.5991,25624.2,123902,1490300,65728300,1
2,100,-0.000739741,0.000698693,1.86217,1.86217,0.000469376,-66.5696,22.0463,26964.7,117748,1491560,64888700,1
2,200,-0.000677353,0.00064633,1.95938,1.95938,0.000467569,-66.6031,23.9016,33514.8,94732.8,1487400,61448200,1
2,400,-0.000582527,0.000562435,2.12188,2.12188,0.000457082,-66.8001,26.3824,45617,69596.9,1454750,56701900,1
2,800,-0.00046015,0.000449626,2.35667,2.35667,0.000431914,-67.2921,29.1622,66483.5,47752.9,1375290,50741300,1
2,1000,-0.000417883,0.000409866,2.44504,2.44504,0.000420279,-67.5292,30.059,75754.9,41908.5,1339000,48598700,1
2,2000,-0.000290638,0.000288305,2.74042,2.74042,0.000374575,-68.5292,32.7304,115606,27460.7,1193640,41457600,1
2,4000,-0.000185149,0.000185654,3.03515,3.03515,0.00031949,-69.9109,35.1708,179508,17685.5,1017380,34131900,1
2,8000,-0.000109911,0.000111363,3.29753,3.29753,0.000262418,-71.6201,37.3879,282101,11253.9,836356,27225000,1
2,10000,-0.0000918176,0.0000933367,3.37233,3.37233,0.000244528,-72.2334,38.0559,326938,9710.07,778816,25148600,1
2,20000,-0.0000510296,0.0000524074,3.57232,3.57232,0.000191392,-74.3615,39.9498,519481,6111.14,609860,19355900,1
2,40000,-0.000027463,0.0000285056,3.72594,3.72594,0.000142158,-76.9446,41.4494,831189,3819.35,452655,14614000,1
2,80000,-0.0000144798,0.0000152052,3.84072,3.84072,0.0000986273,-80.1201,42.4395,1342700,2364.38,313963,10806300,1
2,100000,-0.0000117486,0.0000123872,3.871,3.871,0.0000863446,-81.2753,42.6497,1571270,2020.46,275062,9744760,1
2,200000,-0.00000609965,0.00000651989,3.94931,3.94931,0.0000546227,-85.2525,43.0181,2591400,1225.04,173992,6897030,1
2,400000,-0.00000314643,0.00000341524,4.01018,4.01018,0.0000326439,-89.724,43.0826,4368480,726.734,104030,4711950,1
2,800000,-0.00000161669,0.00000178389,4.05984,4.05984,0.0000187147,-94.5563,43.0169,7562490,419.789,59650.1,3154840,1
2,1000000,-0.00000130401,0.00000144659,4.07419,4.07419,0.0000155504,-96.1652,42.9938,9077160,349.73,49513.7,2768920,1
2,2000000,-0.000000668007,0.000000753093,4.11522,4.11522,0.00000863466,-101.275,42.9669,16296700,194.795,27506.8,1832760,1
2,4000000,-0.00000034171,0.000000390881,4.15261,4.15261,0.0000047307,-106.502,43.0328,29972000,105.918,15077.9,1169950,1.43993
